Q106605756	Öjendorfer_Damm
Q97456403	Cycling_in_Hamburg
Q106605149	Dörpsweg_(Hamburg)
Q20107943	Dübwischgraben
Q20107947	Düngelau
Q877305	Düpenau
Q106605158	Düppelstraße_(Hamburg)
Q106605162	Düsternstraße_(Hamburg)
Q28314183	Dag-Hammarskjöld-Brücke
Q106605122	Daimlerstraße_(Hamburg)
Q1157804	Dalbek
Q106605123	Dalmannkai
Q30112705	Dammbrücke
Q1158671	Dammtor
Q106605124	Dammtordamm
Q27729245	Dammtorstraße
Q106605125	Dammtorwall
Q101513784	Dankeskirche_(Hamburg-Rahlstedt)
Q59689078	Dankeskirche_Hamm-Süd_(Hamburg-Hamm)
Q109329438	Danske_Hus_(Hamburg)
Q106605126	Danziger_Straße_(Hamburg)
Q106605127	Dar-es-Salaam-Platz
Q876959	Das_Schiff_(ship,_1912)
Q47003628	Davidstraße
Q828629	Deepenhorngraben
Q108691310	Deepenwiesengraben
Q106605128	Dehnhaide_(Hamburg)
Q1183151	Deichstraße_(Hamburg)
Q113455861	Deichstraße_19_(Hamburg-Altstadt)
Q114773784	Deichstraße_37_(Althamburger_Bürgerhaus)
Q106188753	Deichtor-Center
Q1183156	Deichtorhallen
Q113160710	Deichtortunnel
Q106605130	Delingsdorfer_Weg
Q1495180	Demolition_of_the_HEW_power_station_in_Hamburg-Moorburg
Q107183590	Dempwolffstraße
Q55833210	Denickestraße_(Hamburg)
Q106605132	Denksteinweg
Q106605133	Depenau_(Hamburg)
Q1191587	Deponie_Hamburg-Georgswerder
Q106605134	Desenißstraße
Q1200605	Deserteurdenkmal_(Hamburg)
Q114808753	Dessauer_Straße_(Hamburg)
Q311801	DESY
Q106605135	Detlev-Bremer-Straße
Q1201734	Deutsch-Australische_Dampfschiffs-Gesellschaft
Q113402114	Deutsche_Bundesbank_Hamburg
Q23836119	Deutsche_Kriegsgräberstätte_Hamburg-Bergedorf
Q14906557	Deutsche_Kriegsgräberstätte_Hamburg-Ohlsdorf
Q317179	Deutsche_Zentralbibliothek_für_Wirtschaftswissenschaften
Q1205784	Deutsches_Klimarechenzentrum
Q450777	Deutsches_Schauspielhaus
Q1206139	Deutsches_Zusatzstoffmuseum
Q1450671	Deutsch-Französisches_Gymnasium_(Hamburg)
Q1206343	Deutschlandhaus_Hamburg
Q114808755	Diagonalstraße
Q457196	Dialogue_in_the_Dark
Q11917079	Diamantgraben
Q111016895	Die_Elbe_(Hamburg,_Wieland_Förster)
Q106605136	Diedenhofener_Straße_(Hamburg)
Q11917158	Diekbek
Q106605137	Diekmoorweg
Q106605138	Dienerreihe
Q114808758	Diestelstraße
Q94960832	Dietrich_Bonhoeffer-Denkmal_(Hamburg)
Q108566767	Dietrich-Bonhoeffer-Kirche_(Hamburg-Dulsberg)
Q14551353	Dietrich-Bonhoeffer-Kirche_Oldenfelde_(Hamburg-Rahlstedt)
Q114808761	Dillstraße_(Hamburg)
Q114808762	Dithmarscher_Straße
Q96631634	Ditmar-Koel-Straße_(Hamburg-Neustadt)
Q106605139	Doberaner_Weg_(Hamburg)
Q106605140	Dockenhudener_Straße_(Hamburg)
Q1233751	Dockland,_Hamburg
Q1233759	Docks_Hamburg
Q106605141	Dohrnweg_(Hamburg)
Q18121807	Dominikanerkloster_St._Johannis_(Hamburg)
Q573491	Domkirche_St._Marien_(Hamburg)
Q105337998	Domplatz_(Hamburg)
Q89281413	Domschule_St._Marien_(Hamburg)
Q106605142	Domstraße_(Hamburg)
Q1241886	Donners_Park
Q106605143	Donnerstraße_(Hamburg)
Q106605144	Doormannsweg
Q106605145	Dorfgang_(Hamburg)
Q106605146	Dornbusch_(Hamburg)
Q106605148	Dorotheenstraße_(Hamburg)
Q106605150	Dortmunder_Straße_(Hamburg)
Q315688	Dove_Elbe
Q106605151	Dovenfleet_(Hamburg)
Q114808765	Dradenaustraße
Q106605152	Dragonerstall
Q106605153	Dratelnstraße
Q106605154	Drehbahn
Q1308438	Dreieinigkeitskirche,_St._Georg
Q11722101	Dreieinigkeitskirche_(Hamburg-Allermöhe)
Q108566768	Dreieinigkeitskirche_(Hamburg-Billstedt)
Q1170288	Dreifaltigkeitskirche_(Hamburg-Hamm)
Q110667284	Dreiteiliges_Objekt_(Hamburg-Rotherbaum)
Q110423143	DRK-Studentenwohnheim_Bieberstraße
Q24572859	Drosselstraße_(Hamburg)
Q106605155	Duisburger_Straße_(Hamburg)
Q66001171	Dulsbergbad
Q106605156	Dulsberg-Nord
Q106605157	Dulsberg-Süd
Q106605159	Durchdeich
Q106605161	Duschweg
Q96964235	Duvenackergraben
Q1648316	Duvenstedter_Brook
Q106605163	Duvenstedter_Damm
Q107453258	Duwockskamp
Q107428527	Duwockskamp_1
Q11917874	Dwarspriel
Q97999593	Dyke_March_Hamburg_2020
Q52153922	E45_(Germany)
Q106605164	Ebelingplatz_(Hamburg)
Q15807180	Ebenezer-Krankenhaus_(Hamburg-Barmbek)
Q106605165	Eberhofstieg
Q106605166	Eberhofweg
Q114808767	Ebertallee_(Hamburg)
Q114808771	Ebner-Eschenbach-Weg_(Hamburg)
Q108057295	Echte_Mamas
Q106605167	Eckernförder_Straße_(Hamburg)
Q106605168	Eddelbüttelstraße_(Hamburg)
Q26821570	Edel-optics.de_Arena
Q110667428	Edelstahlskulptur_(Hamburg,_Ida-Ehre-Platz)
Q1284900	Edith-Stein-Kirche_(Hamburg-Neuallermöhe)
Q23780480	Edmund-Haus
Q106605169	Edmund-Siemers-Allee
Q106605170	Eduard-Rhein-Ufer
Q106605171	Eduardstraße_(Hamburg)
Q106605172	Edwin-Scharff-Ring
Q106605173	Eekboomkoppel
Q77810532	Eekbusch
Q106605174	Efeuweg_(Hamburg)
Q1670652	Ehem._Jüdischer_Friedhof_am_Grindel_(Hamburg-Rotherbaum)
Q108566769	Ehemalige_Kapelle,_Henny-Schütz-Allee
Q100447920	Ehemaliges_Restaurant_Randel,_Gebäude
Q106605175	Ehestorfer_Heuweg
Q106605176	Ehestorfer_Weg
Q19278901	Ehrenhain_Hamburgischer_Widerstandskämpfer
Q1300206	Ehrenmal_der_Radiologie
Q62592549	Eißendorfer_Forst
Q114808779	Eißendorfer_Grenzweg
Q106605184	Eißendorfer_Pferdeweg
Q55833670	Eißendorfer_Straße
Q114808773	Eichengrund_(Hamburg)
Q106605177	Eichenkamp_(Hamburg)
Q106605178	Eichholz_(Hamburg)
Q1296746	Eichtalpark
Q107390833	Eidelstedter_Bürgerhaus
Q114808775	Eidelstedter_Weg
Q106605179	Eiffestraße
Q106605180	Eifflerstraße
Q104812793	Eifflerstraße_3
Q55525469	Eilbeker_Bürgerpark
Q106605181	Eilbeker_Weg
Q106605182	Eilbektal
Q106605183	Eilenau_(Hamburg)
Q47507433	Eimsbütteler_Brücke
Q114808777	Eimsbütteler_Straße
Q108566770	Eirene-Kirche_Hamburg-Langenhorn
Q106605186	Elbberg_(Hamburg)
Q65659993	Elbbergbrücke
Q111964585	Elbchaussee_530
Q14370908	Elbe-Einkaufszentrum_(Hamburg)
Q882270	Elberadweg
Q1325085	Elbe-Werkstätten
Q104381856	Elbhochbrücke
Q1325319	Elbhof
Q32043252	Elbpark_Entenwerder
Q114808781	Elbterrasse_(Hamburg)
Q28941004	Elbtower
Q114808783	Elbtreppe
Q113006074	Elemente_der_Verbindung_(Heisig+Schwerdtfeger,_Hamburg)
Q107291508	Elfenwiese
Q1313918	Elisabethkirche_(Hamburg-Eidelstedt)
Q109833468	Elisabeth-Lange-Schule
Q106605187	Ellenbogen_(Hamburg)
Q28375614	Ellerholz_Oberfeuer
Q66493924	Ellerholz_range_lights
Q28375612	Ellerholz_Unterfeuer
Q106605188	Ellerholzdamm
Q63565270	Ellerholzhöft
Q106316379	Ellerholzkanal
Q63380853	Ellerholzweg_1a
Q1332023	Ellerntorsbrücke
Q106605189	Elligersweg
Q106605190	Ellmenreichstraße
Q106605191	Elsässer_Straße_(Hamburg)
Q106605192	Elsastraße_(Hamburg)
Q18411509	Else-Rauch-Platz
Q106605193	Elversweg
Q106605195	Emekesweg
Q114808784	Emil-Andresen-Straße
Q106605197	Emilienstraße_(Hamburg)
Q63098932	Emilie-Wüstenfeld-Gymnasium
Q78163793	Emil-Krause-Schule
Q108566771	Emmauskirche_(Hamburg-Hinschenfelde)
Q108566772	Emmauskirche_(Hamburg-Lurup)
Q108566774	Emmauskirche_(Hamburg-Wilhelmsburg)
Q1339302	Empire_Riverside_Hotel
Q1339402	Emporio_(Hamburg)
Q106605198	Enckeplatz
Q104151027	Engelbert_Peiffer_-_Statue_of_Saint_Ansgar_-_Trostbrücke_Hamburg
Q106605199	Englische_Planke
Q109719034	Ensemble_Adolf-von-Elm-Hof/Mehringweg
Q114016365	Ensemble_Heimfelder_Straße/Woellmerstraße
Q112075258	Entenwerder_boat_ramp
Q51832005	Epiphanienkirche_(Hamburg-Winterhude)
Q106605200	Eppendorfer_Baum
Q28661154	Eppendorfer_Brücke
Q106605201	Eppendorfer_Landstraße_(Hamburg)
Q1347556	Eppendorfer_Mühlenteich
Q114808786	Eppendorfer_Marktplatz
Q1970944	Eppendorfer_Moor
Q15110378	Eppendorfer_Park
Q29365398	Eppendorfer_Weg
Q106605203	Erdkampsweg
Q101422770	Erich-Kästner-Schule_(Hamburg)
Q1353719	Ericusbrücke
Q106605204	Ericusspitze
Q106605206	Erika-Mann-Bogen
Q106605207	Erikastraße_(Hamburg)
Q106605205	Erik-Blumenfeld-Platz
Q1355744	Erlöserkirche_(Hamburg-Borgfelde)
Q108566775	Erlöserkirche_(Hamburg-Eimsbüttel)
Q1355745	Erlöserkirche_(Hamburg-Farmsen-Berne)
Q108566776	Erlöserkirche_(Hamburg-Lohbrügge)
Q108566777	Erlöserkirche_(Hamburg-Rahlstedt)
Q106605208	Ermlandweg
Q51916	Ernst_Deutsch_Theater
Q49247907	Ernst-August-Kanal_(Hamburg)
Q871581	Ernst-Barlach-Haus
Q106605209	Ernst-Bergeest-Weg
Q106605210	Ernst-Mantius-Straße
Q16903674	Ernst-Merck-Halle
Q106605211	Ernst-Merck-Straße
Q27886768	Ernst-Schlee-Gymnasium
Q114808788	Ernst-Thälmann-Platz_(Hamburg)
Q475236	Erotic_Art_Museum_Hamburg
Q108566779	Erzengel-Michael-Kirche_(Hamburg-Eilbek)
Q1368275	Esplanade_(Hamburg)
Q106605212	Essener_Bogen_(Hamburg)
Q106605213	Essener_Straße_(Hamburg)
Q15808690	Esso-Tankstelle_Reeperbahn
Q430677	Este_(Elbe)
Q106605215	Estebogen
Q106086537	Estedeich_102
Q1821417	Estemündung_lighthouse
Q106605216	Eulenkamp_(Hamburg)
Q114808789	Eulenkrugstraße
Q106605217	Eulenstraße_(Hamburg)
Q97156170	Euler_Hermes_building
Q63434071	Eurogate_Container_Terminal_Hamburg
Q1375224	Europa_Passage
Q1375284	Europabrücke_(Hamburg)
Q106605219	Fährhausstraße_(Hamburg)
Q11923358	Fährkanal_(Hamburg)
Q218604	Fährlinie_Hoopte-Zollenspieker
Q106605220	Fährstraße_(Hamburg)
Q1572796	Fünfhausen_(Hamburg)
Q114808826	Fünfhausener_Hauptdeich
Q106605218	Fabriciusstraße_(Hamburg)
Q1390772	Fabrik_(Hamburg)
Q106605221	Falkenbergsweg
Q106605222	Falkenried_(Hamburg)
Q19279491	Falkenried-Terrassen
Q1394291	Falkensteiner_Ufer
Q106605224	Falkensteiner_Weg_(Hamburg)
Q114808793	Falkenweg_(Hamburg)
Q96943612	Familienbad_Ohlsdorf
Q20108085	Fangdiekgraben
Q56641198	Fanny_&_Felix_Mendelssohn_Museum,_Hamburg
Q106605225	Farmsener_Landstraße
Q106605226	Farnstraße_(Hamburg)
Q106605227	Fassbinderweg
Q884982	Fazle-Omar-Moschee_(Hamburg)
Q106605236	Feßlerstraße_(Hamburg)
Q28549935	Feenteichbrücke
Q106605228	Feilenhauerweg
Q1402378	Feldbrunnenstraße
Q106605231	Feldstraße_(Hamburg)
Q106605232	Felix-Dahn-Straße_(Hamburg)
Q106605233	Felix-Jud-Ring
Q106605234	Ferdinandstraße_(Hamburg)
Q1259721	Fernmeldeturm_Hamburg-Lohbrügge
Q106605235	Fernsicht_(Hamburg)
Q28600335	Fernsichtbrücke
Q106605237	Fettstraße
Q106605238	Feuerbergstraße
Q33189243	Feuerschiff_LV_13_(ship,_1952)
Q114808795	Feuerteichweg
Q19279594	Feuerwache_Alsterdorf
Q108560081	Feuerwache_Altona
Q19285020	Feuerwache_Berliner_Tor
Q19279595	Feuerwache_Innenstadt
Q108544031	Feuerwache_Rotherbaum
Q19279596	Feuerwache_Veddel
Q112127919	Feuerwache_Wandsbek
Q108535567	Feuerwache_Wilhelmsburg
Q60666107	FFH-Gebiet_Boberger_Düne_und_Hangterrassen
Q60666124	FFH-Gebiet_Die_Reit
Q60666123	FFH-Gebiet_Hamburger_Unterelbe
Q60666110	FFH-Gebiet_Heuckenlock/Schweenssand
Q60666122	FFH-Gebiet_Stellmoorer_Tunneltal/Höltigbaum
Q60666118	FFH-Gebiet_Zollenspieker/Kiebitzbrack
Q106605239	Fibigerstraße
Q106605240	Fiddigshagen
Q106605241	Fiefstücken
Q1417408	Finkenau_(Hamburg)
Q23824547	Finkenrieker_Friedhof
Q106605242	Finkenrieker_Hauptdeich
Q11922097	Finkenwerder_Fleet
Q11922096	Finkenwerder_Landscheide
Q106605243	Finkenwerder_Landscheideweg
Q114808797	Finkenwerder_Ring_(Hamburg)
Q1417513	Finkenwerder_Süderelbe
Q114808799	Finkenwerder_Straße
Q63349428	Finnische_Seemannskirche_in_Hamburg
Q1418221	Finnlandhaus
Q204712	Fischauktionshalle_(Hamburg-Altona)
Q1419835	Fischbeker_Heide
Q114808801	Fischers_Allee
Q1420359	Fischmarkt_(Hamburg)
Q106605244	Flachsland_(Hamburg)
Q96376709	Fleethaus_Hamburg-Harburg
Q114808814	Fleetplatz_(Hamburg)
Q26219754	Fleetschlösschen
Q2237848	Fleischgroßmarkt_Hamburg
Q106605245	Flemingstraße_(Hamburg)
Q106605246	Fliederweg
Q106605247	Flora-Neumann-Straße
Q114808815	Flotowstraße_(Hamburg)
Q944351	Flottbektal
Q106605248	Flughafenstraße_(Hamburg)
Q114808816	Flurstraße_(Hamburg)
Q1434349	Flussschifferkirche_Hamburg
Q106605249	Fontenay_(Hamburg)
Q114808817	Fontenay-Allee
Q18624152	Fontenay-Denkmal
Q106605250	Foorthkamp
Q437745	Former_railway_station_Bergedorf
Q894009	Former_synagogue_at_Bornplatz_Hamburg
Q99485123	Former_synagogue_Erste_Brunnenstrasse_Hamburg
Q107740390	Former_synagogue_Neve_Shalom_in_Altona
Q106605251	Forsmannstraße
Q77597218	Frahmredder
Q106605252	Frahmstraße_(Hamburg)
Q106605253	Francoper_Straße
Q114808818	Frankenstraße_(Hamburg)
Q1807150	Franksche_Laubenganghäuser_auf_dem_Dulsberg
Q1450388	Franziskus-Kolleg_(Hamburg)
Q66760112	Franz-von-Assisi-Schule_(Hamburg)
Q113193790	Frauenkörper_im_Wind
Q106605254	Frauenthal_(Hamburg)
Q15809126	Freie_Demokratische_Partei_in_Hamburg
Q113620491	Freihafen-Elbbrücke
Q105659402	Freiluftschule_Moorwerder
Q108900690	Freiluftschule_Neugraben
Q105529142	Freiluftschule_Wohldorf
Q110601972	Freiwillige_Feuerwehr_Allermöhe
Q113732719	Freiwillige_Feuerwehr_Billstedt-Horn
Q110602302	Freiwillige_Feuerwehr_Curslack
Q111317620	Freiwillige_Feuerwehr_Francop
Q109300963	Freiwillige_Feuerwehr_Hausbruch
Q109299967	Freiwillige_Feuerwehr_Moorburg
Q111473612	Freiwillige_Feuerwehr_Moorwerder
Q110304632	Freiwillige_Feuerwehr_Neudorf_(Hamburg)
Q113772602	Freiwillige_Feuerwehr_Neugraben
Q111843099	Freiwillige_Feuerwehr_Nienstedten
Q114134042	Freiwillige_Feuerwehr_Pöseldorf
Q113499777	Freiwillige_Feuerwehr_Sasel
Q110315824	Freiwillige_Feuerwehr_Spadenland
Q76313493	Frettchenweg_(Hamburg)
Q114808819	Frickestraße_(Hamburg)
Q94771453	Fridtjof-Nansen-Schule_(Hamburg)
Q106992066	Friedastraße_(Hamburg)
Q114808820	Friedensallee_(Hamburg)
Q96162554	Friedenskirche_(Hamburg-Farmsen-Berne)
Q108566780	Friedenskirche_(Hamburg-Jenfeld)
Q28374409	Friedenskirche_(Hamburg-St._Pauli)
Q106605255	Friedenstraße_(Hamburg)
Q1457488	Friedhof_Öjendorf
Q18286210	Friedhof_Altona
Q1399761	Friedhof_Bergedorf
Q41680828	Friedhof_Blankenese
Q21205543	Friedhof_der_Namenlosen_Neuwerk
Q26821519	Friedhof_Groß_Flottbek
Q16920677	Friedhof_Norderreihe_Altona
Q562211	Friedhof_Ohlsdorf
Q2127412	Friedhof_Rahlstedt
Q107208540	Friedhof_Tonndorf
Q114808822	Friedhofstraße_(Hamburg)
Q106605256	Friedrich-Ebert-Damm_(Hamburg)
Q882453	Friedrich-Ebert-Gymnasium_(Hamburg)
Q106605257	Friedrich-Ebert-Straße_(Hamburg)
Q106605258	Friedrich-Frank-Bogen
Q114808823	Friedrich-Kirsten-Straße
Q106962717	Friedrich-Robbe-Institut
Q47535872	Friedrichsberger_Brücke_(Hamburg)
Q51772336	Friedrichsberger_Park
Q106605259	Friedrichsberger_Straße_(Hamburg)
Q106605260	Friedrichstraße_(Hamburg)
Q106605261	Friesenstraße_(Hamburg)
Q84493875	Fritz-Köhne-Schule
Q106605262	Fritz-Schumacher-Allee
Q28946766	Fritz-Schumacher-Schule
Q50212429	Fritz-Schumacher-Siedlung
Q15810829	Frohbotschaftskirche_(Hamburg-Dulsberg)
Q106605263	Frohmestraße
Q106605264	Fruchtallee_(Hamburg)
Q114808825	Frustbergstraße
Q106605265	Fuhlentwiete
Q26821521	Fuhlsbüttler_Straße
Q11923300	Furtbek
Q106605266	Furtweg_(Hamburg)
Q1558764	Gängeviertel_(Hamburg)
Q1558796	Gänsemarkt
Q107159248	Göhlbachtal
Q1559591	Görtz-Palais
Q106605324	Güntherstraße_(Hamburg)
Q1562227	Güterumgehungsbahn_Hamburg
Q50250808	Galerie_Weber_in_Hamburg
Q1492309	Galleria_(Hamburg)
Q811949	Gardens_and_parks_in_Hamburg
Q106605267	Garstedter_Weg_(Hamburg)
Q106393914	Garstedter_Weg_9_(Hamburg)
Q1494692	Gartenstadt_Berne
Q31839652	Gartenstadt_Farmsen
Q31202344	Gasolin-Tankstelle_Billhorner_Röhrendamm_4_(Hamburg)
Q114808830	Gasstraße_(Hamburg)
Q106605268	Gaußstraße_(Hamburg)
Q105755871	Gaußstraße_51_(Hamburg)
Q106605269	Gazellenkamp
Q106605270	Gebrüder-Wolf-Platz_(Hamburg)
Q106605271	Gebweiler_Straße
Q11823399	Gedenkhain_KZ_Neuengamme_-_Deportierte_des_Warschauer_Aufstandes_1944
Q1004271	Gedenkstätte_Bullenhuser_Damm
Q2098738	Gedenkstätte_Plattenhaus_Poppenbüttel
Q1497510	Gedenkstein_für_die_Erhebung_Schleswig-Holsteins_(Hamburg-Blankenese)
Q79117283	Gedenkstein_Neue_Dammtorsynagoge_(Hamburg)
Q114808832	Geffckenstraße
Q106605272	Gefionstraße_(Hamburg)
Q106605273	Gehlengraben
Q106605274	Geibelstraße_(Hamburg)
Q882742	Gelehrtenschule_des_Johanneums
Q28499802	Gemeindehaus_St._Michaelis
Q28037564	Gemeindezentrum_Mümmelmannsberg
Q1277629	Generation_Move
Q106605275	Genslerstraße_(Hamburg)
Q1503225	Geologisch-Paläontologisches_Museum_Hamburg
Q107143114	Geomatikum_(Hamburg)
Q114808834	Georg-Heyken-Straße
Q114808837	Georgsplatz_(Hamburg)
Q11924090	Georgswerder_Schleusengraben
Q106605276	Georg-Thielen-Gasse
Q114808835	Georg-Wilhelm-Straße_(Hamburg)
Q106605278	Gerade_Straße_(Hamburg)
Q1512919	Gerhart-Hauptmann-Platz_(Hamburg)
Q106605279	Gerhofstraße
Q114808839	Gerichtstraße_(Hamburg)
Q470412	German_Institute_for_Global_and_Area_Studies
Q106605280	Gerritstraße
Q106605281	Gertigstraße
Q114808841	Gertrudenkirchhof_(Hamburg)
Q114808844	Gertrudenstraße_(Hamburg)
Q65900626	Geschwister-Scholl-Stadtteilschule
Q114808846	Geschwister-Scholl-Straße_(Hamburg)
Q105480861	Gesellschaftsspiegel
Q19284024	Gewerkschaftshaus_(Hamburg)
Q24068718	Girardethaus
Q67086172	Gisela_Engelin-Hommes,_Zirkusreiterin
Q106605286	Glückel-von-Hameln-Straße
Q106605282	Glacischaussee
Q106605283	Glashüttenstraße_(Hamburg)
Q315684	Glinder_Au
Q106605285	Glindweg_(Hamburg)
Q106382358	Globushof
Q24505389	Glockengießerwall
Q106605287	Gluckstraße_(Hamburg)
Q106605288	Gnadenbergweg
Q108566781	Gnadenkirche_(Hamburg-Lohbrügge)
Q9187671	Gnadenkirche_St._Pauli
Q106605289	Gneisenaustraße_(Hamburg)
Q1540603	Goßlerhaus
Q1321149	Goßlers_Park
Q106605290	Godeffroystraße_(Hamburg)
Q47507434	Goebenbrücke_(Hamburg)
Q114808848	Goebenstraße_(Hamburg)
Q106605291	Goernestraße
Q114808851	Goetheallee_(Hamburg)
Q113977016	Goetheallee_5-7_(Hamburg)
Q1534110	Goethe-Gymnasium_(Hamburg)
Q106605293	Goethestraße_(Hamburg)
Q114808854	Gojenbergsweg
Q1534721	Goldbekkanal
Q106605294	Goldbekplatz
Q66103050	Goldbek-Schule
Q106605295	Goldbekufer
Q1535030	Golden_Pudel_Club
Q100806034	Goldmariekengraben
Q92598718	Gorch-Fock-Schule_(Hamburg)
Q106605296	Gorch-Fock-Wall_(Hamburg)
Q882956	Gose_Elbe
Q106605297	Gottschedstraße_(Hamburg)
Q106692977	Grünanlage_Willersweg
Q106605321	Grüner_Winkel
Q1550320	Grünspan
Q113137846	Grab_Henning_Voscherau_auf_dem_Friedhof_Ohlsdorf
Q99541032	Graben_am_Ree
Q104218067	Graben_Bahnhofsviertel
Q98768919	Graben_Stadionstraße
Q106605298	Grabenstraße_(Hamburg)
Q19284327	Graf-Goltz-Kaserne_(Hamburg)
Q114808856	Gramkowweg
Q114808859	Grandeswerder_Straße
Q106605299	Grandweg_(Hamburg)
Q77041738	Grasbrookpark
Q106605300	Graskeller
Q114808861	Grasredder_(Hamburg)
Q106605301	Grasweg_(Hamburg)
Q106605302	Graumannsweg
Q106605303	Graumanntwiete
Q104216876	Graumanntwiete_5
Q70201050	Grave_Bendixen_at_Friedhof_Ohlsdorf
Q98841506	Grave_Hadeler_(Karin_Hertz)_at_Friedhof_Ohlsdorf
Q67142233	Grave_KH_Engelin_at_Friedhof_Ohlsdorf
Q67142664	Grave_Veit_Engelin_at_Friedhof_Ohlsdorf
Q107300682	Greifenbergpark
Q106605304	Greifswalder_Straße_(Hamburg)
Q106605305	Grellkamp_(Hamburg)
Q105582355	Gretel-Bergmann-Schule
Q11924715	Grevenhofkanal
Q106605306	Grevenweg_(Hamburg)
Q106605307	Griegstraße_(Hamburg)
Q106713012	Grimm
Q106605309	Grindelallee
Q111901527	Grindelallee_100
Q106371754	Grindelallee_117
Q106605310	Grindelberg
Q1546956	Grindelhochhäuser
Q114808865	Grindelweg_(Hamburg)
Q108566782	Groß_Flottbeker_Kirche_(Hamburg)
Q114808870	Große_Bäckerstraße_(Hamburg)
Q1548151	Große_Bergstraße_(Hamburg)
Q27669941	Große_Bleichen_(Hamburg)
Q114808867	Große_Brunnenstraße_(Hamburg)
Q26836571	Große_Elbstraße
Q316958	Große_Flottbek
Q895867	Große_Freiheit
Q15137841	Große_Freiheit_36
Q104870500	Große_Freiheit_63
Q114808871	Große_Johannisstraße_(Hamburg)
Q79798064	Große_Liegende_(Barbara_Haeger,_1956)
Q44444852	Große_Reichenstraße
Q1548641	Großer_Burstah
Q106605314	Großer_Grasbrook
Q106605315	Großer_Schippsee_(Hamburg)
Q106605316	Großer_Trampgang
Q106605317	Großheidestraße_(Hamburg)
Q1549478	Großneumarkt
Q76307559	Großneumarktbrunnen
Q110970310	Großwohnsiedlung_Hamburg-Steilshoop
Q106605311	Groothoffgasse
Q106605312	Grootsruhe_(Hamburg)
Q106605313	Gropiusring_(Hamburg)
Q106605319	Grote_Raak
Q96979283	Grothwischgraben
Q114808873	Grube_(Hamburg)
Q106605320	Grumbrechtstraße
Q106811742	Grundschule_Buckhorn
Q90043460	Grundschule_Horn_(Hamburg)
Q96193701	Grundschule_Lohkampstraße
Q98934360	Grundschule_Mümmelmannsberg
Q83784643	Grundschule_Sachsenweg
Q91442810	Grundschule_Stübenhofer_Weg
Q96323170	Grundschule_St._Pauli
Q19310793	Gruner_+_Jahr_Verlagshaus_Baumwall
Q106605323	Gryphiusstraße_(Hamburg)
Q11924800	Guanofleet
Q1555231	Gurlitt-Insel
Q114808874	Gurlittstraße_(Hamburg)
Q11925009	Gussau
Q1555405	Gustaf-Adolfskyrkan_(Hamburg)
Q56641015	Gustav_Mahler-Museum,_Hamburg
Q106605325	Gustav-Falke-Straße
Q106605326	Gustav-Freytag-Strasse_(Hamburg)
Q106605327	Gustav-Leo-Straße
Q28314181	Gustav-Mahler-Park
Q17123453	Gut_Karlshöhe
Q107445411	Gut_Marienhöhe
Q1454260	Gymnasium_Allee_(Hamburg)
Q65998271	Gymnasium_Allermöhe
Q1558060	Gymnasium_Alstertal
Q1558062	Gymnasium_Altona
Q41576002	Gymnasium_Blankenese
Q1558078	Gymnasium_Bondenwald
Q1558081	Gymnasium_Bornbrook
Q60024528	Gymnasium_Buckhorn
Q65999288	Gymnasium_Dörpsweg
Q1558106	Gymnasium_Eppendorf
Q1558112	Gymnasium_Farmsen
Q65998915	Gymnasium_Finkenwerder
Q69997166	Gymnasium_Hamm_(Hamburg)
Q1387373	Gymnasium_Heidberg
Q63183783	Gymnasium_Hochrad
Q18624903	Gymnasium_Hoheluft
Q63086254	Gymnasium_Hummelsbüttel
Q27920019	Gymnasium_Lerchenfeld
Q65783704	Gymnasium_Lohbrügge
Q1558182	Gymnasium_Meiendorf
Q1427207	Gymnasium_Oberalster
Q66004142	Gymnasium_Ohmoor
Q1558205	Gymnasium_Oldenfelde
Q1558206	Gymnasium_Osterbek
Q66004193	Gymnasium_Othmarschen
Q66004249	Gymnasium_Rahlstedt
Q66133369	Gymnasium_Rissen
Q108340770	Gymnasium_Rotherbaum
Q1558244	Gymnasium_Süderelbe
Q66619427	Gyula-Trebitsch-Schule_Tonndorf
Q106605417	Högerdamm_(Hamburg)
Q106605429	Höhnkoppelort
Q106605430	Hölertwiete
Q1321287	Höltigbaum
Q106605445	Höltystraße_(Hamburg)
Q106605447	Höpen_(Hamburg)
Q106605453	Hübenerstraße_(Hamburg)
Q76164745	Hübner-Haus_(Hamburg)
Q17353668	Hühnerposten_(Hamburg)
Q106605460	Hüllenkamp
Q106605463	Hürtweg
Q106605464	Hütten_(Hamburg)
Q106605328	Haakestraße
Q106690037	Habichtsplatz
Q114808876	Habichtstraße_(Hamburg)
Q61736039	Hachmannbrücke
Q106605329	Hachmannplatz
Q106605330	Haderslebener_Straße_(Hamburg)
Q20181604	Hafen_Rock
Q1567914	Hafenbahnhof_Hamburg_Süd
Q114103043	Hafenbezirk
Q26837060	HafenCity_RiverBus
Q1567931	Hafengeburtstag
Q19686386	Hafenklang
Q1567944	Hafenkrankenhaus
Q1408998	Hafenmuseum_(Hamburg)
Q56878399	Hafenpolizeiwache_No_2
Q106605331	Hafentor_(Hamburg)
Q106605332	Haferkamp_(Hamburg)
Q114808877	Hagenbeckstraße_(Hamburg)
Q114808878	Haidlandsweg
Q1677672	Hainesch-Iland
Q106605333	Halbenkamp
Q114808880	Haldesdorfer_Straße
