Q106605756	Öjendorfer Damm
Q1200605	Deserteurdenkmal (Hamburg)
Q114808753	Dessauer Straße (Hamburg)
Q311801	DESY
Q106605135	Detlev-Bremer-Straße
Q1201734	Deutsch-Australische Dampfschiffs-Gesellschaft
Q113402114	Deutsche Bundesbank Hamburg
Q23836119	Deutsche Kriegsgräberstätte Hamburg-Bergedorf
Q14906557	Deutsche Kriegsgräberstätte Hamburg-Ohlsdorf
Q317179	Deutsche Zentralbibliothek für Wirtschaftswissenschaften
Q1205784	Deutsches Klimarechenzentrum
Q450777	Deutsches Schauspielhaus
Q1206139	Deutsches Zusatzstoffmuseum
Q1450671	Deutsch-Französisches Gymnasium (Hamburg)
Q1206343	Deutschlandhaus Hamburg
Q114808755	Diagonalstraße
Q457196	Dialogue in the Dark
Q11917079	Diamantgraben
Q111016895	Die Elbe (Hamburg, Wieland Förster)
Q106605136	Diedenhofener Straße (Hamburg)
Q11917158	Diekbek
Q106605137	Diekmoorweg
Q106605138	Dienerreihe
Q114808758	Diestelstraße
Q94960832	Dietrich Bonhoeffer-Denkmal (Hamburg)
Q108566767	Dietrich-Bonhoeffer-Kirche (Hamburg-Dulsberg)
Q14551353	Dietrich-Bonhoeffer-Kirche Oldenfelde (Hamburg-Rahlstedt)
Q114808761	Dillstraße (Hamburg)
Q114808762	Dithmarscher Straße
Q96631634	Ditmar-Koel-Straße (Hamburg-Neustadt)
Q106605139	Doberaner Weg (Hamburg)
Q106605140	Dockenhudener Straße (Hamburg)
Q1233751	Dockland, Hamburg
Q1233759	Docks Hamburg
Q106605141	Dohrnweg (Hamburg)
Q18121807	Dominikanerkloster St. Johannis (Hamburg)
Q573491	Domkirche St. Marien (Hamburg)
Q105337998	Domplatz (Hamburg)
Q89281413	Domschule St. Marien (Hamburg)
Q106605142	Domstraße (Hamburg)
Q1241886	Donners Park
Q106605143	Donnerstraße (Hamburg)
Q106605144	Doormannsweg
Q106605145	Dorfgang (Hamburg)
Q106605146	Dornbusch (Hamburg)
Q106605148	Dorotheenstraße (Hamburg)
Q106605150	Dortmunder Straße (Hamburg)
Q315688	Dove Elbe
Q106605151	Dovenfleet (Hamburg)
Q114808765	Dradenaustraße
Q106605152	Dragonerstall
Q106605153	Dratelnstraße
Q106605154	Drehbahn
Q1308438	Dreieinigkeitskirche, St. Georg
Q11722101	Dreieinigkeitskirche (Hamburg-Allermöhe)
Q108566768	Dreieinigkeitskirche (Hamburg-Billstedt)
Q1170288	Dreifaltigkeitskirche (Hamburg-Hamm)
Q110667284	Dreiteiliges Objekt (Hamburg-Rotherbaum)
Q110423143	DRK-Studentenwohnheim Bieberstraße
Q24572859	Drosselstraße (Hamburg)
Q106605155	Duisburger Straße (Hamburg)
Q66001171	Dulsbergbad
Q106605156	Dulsberg-Nord
Q106605157	Dulsberg-Süd
Q106605159	Durchdeich
Q106605161	Duschweg
Q96964235	Duvenackergraben
Q1648316	Duvenstedter Brook
Q106605163	Duvenstedter Damm
Q107453258	Duwockskamp
Q107428527	Duwockskamp 1
Q11917874	Dwarspriel
Q97999593	Dyke March Hamburg 2020
Q52153922	E45 (Germany)
Q106605164	Ebelingplatz (Hamburg)
Q15807180	Ebenezer-Krankenhaus (Hamburg-Barmbek)
Q106605165	Eberhofstieg
Q106605166	Eberhofweg
Q114808767	Ebertallee (Hamburg)
Q114808771	Ebner-Eschenbach-Weg (Hamburg)
Q108057295	Echte Mamas
Q106605167	Eckernförder Straße (Hamburg)
Q106605168	Eddelbüttelstraße (Hamburg)
Q26821570	Edel-optics.de Arena
Q110667428	Edelstahlskulptur (Hamburg, Ida-Ehre-Platz)
Q1284900	Edith-Stein-Kirche (Hamburg-Neuallermöhe)
Q23780480	Edmund-Haus
Q106605169	Edmund-Siemers-Allee
Q106605170	Eduard-Rhein-Ufer
Q106605171	Eduardstraße (Hamburg)
Q106605172	Edwin-Scharff-Ring
Q106605173	Eekboomkoppel
Q77810532	Eekbusch
Q106605174	Efeuweg (Hamburg)
Q1670652	Ehem. Jüdischer Friedhof am Grindel (Hamburg-Rotherbaum)
Q108566769	Ehemalige Kapelle, Henny-Schütz-Allee
Q100447920	Ehemaliges Restaurant Randel, Gebäude
Q106605175	Ehestorfer Heuweg
Q106605176	Ehestorfer Weg
Q19278901	Ehrenhain Hamburgischer Widerstandskämpfer
Q1300206	Ehrenmal der Radiologie
Q62592549	Eißendorfer Forst
Q114808779	Eißendorfer Grenzweg
Q106605184	Eißendorfer Pferdeweg
Q55833670	Eißendorfer Straße
Q114808773	Eichengrund (Hamburg)
Q106605177	Eichenkamp (Hamburg)
Q106605178	Eichholz (Hamburg)
Q1296746	Eichtalpark
Q107390833	Eidelstedter Bürgerhaus
Q114808775	Eidelstedter Weg
Q106605179	Eiffestraße
Q106605180	Eifflerstraße
Q104812793	Eifflerstraße 3
Q55525469	Eilbeker Bürgerpark
Q106605181	Eilbeker Weg
Q106605182	Eilbektal
Q106605183	Eilenau (Hamburg)
Q47507433	Eimsbütteler Brücke
Q114808777	Eimsbütteler Straße
Q108566770	Eirene-Kirche Hamburg-Langenhorn
Q106605186	Elbberg (Hamburg)
Q65659993	Elbbergbrücke
Q111964585	Elbchaussee 530
Q14370908	Elbe-Einkaufszentrum (Hamburg)
Q882270	Elberadweg
Q1325085	Elbe-Werkstätten
Q104381856	Elbhochbrücke
Q1325319	Elbhof
Q32043252	Elbpark Entenwerder
Q114808781	Elbterrasse (Hamburg)
Q28941004	Elbtower
Q114808783	Elbtreppe
Q113006074	Elemente der Verbindung (Heisig+Schwerdtfeger, Hamburg)
Q107291508	Elfenwiese
Q1313918	Elisabethkirche (Hamburg-Eidelstedt)
Q109833468	Elisabeth-Lange-Schule
Q106605187	Ellenbogen (Hamburg)
Q28375614	Ellerholz Oberfeuer
Q66493924	Ellerholz range lights
Q28375612	Ellerholz Unterfeuer
Q106605188	Ellerholzdamm
Q63565270	Ellerholzhöft
Q106316379	Ellerholzkanal
Q63380853	Ellerholzweg 1a
Q1332023	Ellerntorsbrücke
Q106605189	Elligersweg
Q106605190	Ellmenreichstraße
Q106605191	Elsässer Straße (Hamburg)
Q106605192	Elsastraße (Hamburg)
Q18411509	Else-Rauch-Platz
Q106605193	Elversweg
Q106605195	Emekesweg
Q114808784	Emil-Andresen-Straße
Q106605197	Emilienstraße (Hamburg)
Q63098932	Emilie-Wüstenfeld-Gymnasium
Q78163793	Emil-Krause-Schule
Q108566771	Emmauskirche (Hamburg-Hinschenfelde)
Q108566772	Emmauskirche (Hamburg-Lurup)
Q108566774	Emmauskirche (Hamburg-Wilhelmsburg)
Q1339302	Empire Riverside Hotel
Q1339402	Emporio (Hamburg)
Q106605198	Enckeplatz
Q104151027	Engelbert Peiffer - Statue of Saint Ansgar - Trostbrücke Hamburg
Q106605199	Englische Planke
Q109719034	Ensemble Adolf-von-Elm-Hof/Mehringweg
Q114016365	Ensemble Heimfelder Straße/Woellmerstraße
Q112075258	Entenwerder boat ramp
Q51832005	Epiphanienkirche (Hamburg-Winterhude)
Q106605200	Eppendorfer Baum
Q28661154	Eppendorfer Brücke
Q106605201	Eppendorfer Landstraße (Hamburg)
Q1347556	Eppendorfer Mühlenteich
Q114808786	Eppendorfer Marktplatz
Q1970944	Eppendorfer Moor
Q15110378	Eppendorfer Park
Q29365398	Eppendorfer Weg
Q106605203	Erdkampsweg
Q101422770	Erich-Kästner-Schule (Hamburg)
Q1353719	Ericusbrücke
Q106605204	Ericusspitze
Q106605206	Erika-Mann-Bogen
Q106605207	Erikastraße (Hamburg)
Q106605205	Erik-Blumenfeld-Platz
Q1355744	Erlöserkirche (Hamburg-Borgfelde)
Q108566775	Erlöserkirche (Hamburg-Eimsbüttel)
Q1355745	Erlöserkirche (Hamburg-Farmsen-Berne)
Q108566776	Erlöserkirche (Hamburg-Lohbrügge)
Q108566777	Erlöserkirche (Hamburg-Rahlstedt)
Q106605208	Ermlandweg
Q51916	Ernst Deutsch Theater
Q49247907	Ernst-August-Kanal (Hamburg)
Q871581	Ernst-Barlach-Haus
Q106605209	Ernst-Bergeest-Weg
Q106605210	Ernst-Mantius-Straße
Q16903674	Ernst-Merck-Halle
Q106605211	Ernst-Merck-Straße
Q27886768	Ernst-Schlee-Gymnasium
Q114808788	Ernst-Thälmann-Platz (Hamburg)
Q475236	Erotic Art Museum Hamburg
Q108566779	Erzengel-Michael-Kirche (Hamburg-Eilbek)
Q1368275	Esplanade (Hamburg)
Q106605212	Essener Bogen (Hamburg)
Q106605213	Essener Straße (Hamburg)
Q15808690	Esso-Tankstelle Reeperbahn
Q430677	Este (Elbe)
Q106605215	Estebogen
Q106086537	Estedeich 102
Q1821417	Estemündung lighthouse
Q106605216	Eulenkamp (Hamburg)
Q114808789	Eulenkrugstraße
Q106605217	Eulenstraße (Hamburg)
Q97156170	Euler Hermes building
Q63434071	Eurogate Container Terminal Hamburg
Q1375224	Europa Passage
Q1375284	Europabrücke (Hamburg)
Q106605219	Fährhausstraße (Hamburg)
Q11923358	Fährkanal (Hamburg)
Q218604	Fährlinie Hoopte-Zollenspieker
Q106605220	Fährstraße (Hamburg)
Q1572796	Fünfhausen (Hamburg)
Q114808826	Fünfhausener Hauptdeich
Q106605218	Fabriciusstraße (Hamburg)
Q1390772	Fabrik (Hamburg)
Q106605221	Falkenbergsweg
Q106605222	Falkenried (Hamburg)
Q19279491	Falkenried-Terrassen
Q1394291	Falkensteiner Ufer
Q106605224	Falkensteiner Weg (Hamburg)
Q114808793	Falkenweg (Hamburg)
Q96943612	Familienbad Ohlsdorf
Q20108085	Fangdiekgraben
Q56641198	Fanny & Felix Mendelssohn Museum, Hamburg
Q106605225	Farmsener Landstraße
Q106605226	Farnstraße (Hamburg)
Q106605227	Fassbinderweg
Q884982	Fazle-Omar-Moschee (Hamburg)
Q106605236	Feßlerstraße (Hamburg)
Q28549935	Feenteichbrücke
Q106605228	Feilenhauerweg
Q1402378	Feldbrunnenstraße
Q106605231	Feldstraße (Hamburg)
Q106605232	Felix-Dahn-Straße (Hamburg)
Q106605233	Felix-Jud-Ring
Q106605234	Ferdinandstraße (Hamburg)
Q1259721	Fernmeldeturm Hamburg-Lohbrügge
Q106605235	Fernsicht (Hamburg)
Q28600335	Fernsichtbrücke
Q106605237	Fettstraße
Q106605238	Feuerbergstraße
Q33189243	Feuerschiff LV 13 (ship, 1952)
Q114808795	Feuerteichweg
Q19279594	Feuerwache Alsterdorf
Q108560081	Feuerwache Altona
Q19285020	Feuerwache Berliner Tor
Q19279595	Feuerwache Innenstadt
Q108544031	Feuerwache Rotherbaum
Q19279596	Feuerwache Veddel
Q112127919	Feuerwache Wandsbek
Q108535567	Feuerwache Wilhelmsburg
Q60666107	FFH-Gebiet Boberger Düne und Hangterrassen
Q60666124	FFH-Gebiet Die Reit
Q60666123	FFH-Gebiet Hamburger Unterelbe
Q60666110	FFH-Gebiet Heuckenlock/Schweenssand
Q60666122	FFH-Gebiet Stellmoorer Tunneltal/Höltigbaum
Q60666118	FFH-Gebiet Zollenspieker/Kiebitzbrack
Q106605239	Fibigerstraße
Q106605240	Fiddigshagen
Q106605241	Fiefstücken
Q1417408	Finkenau (Hamburg)
Q23824547	Finkenrieker Friedhof
Q106605242	Finkenrieker Hauptdeich
Q11922097	Finkenwerder Fleet
Q11922096	Finkenwerder Landscheide
Q106605243	Finkenwerder Landscheideweg
Q114808797	Finkenwerder Ring (Hamburg)
Q1417513	Finkenwerder Süderelbe
Q114808799	Finkenwerder Straße
Q63349428	Finnische Seemannskirche in Hamburg
Q1418221	Finnlandhaus
Q204712	Fischauktionshalle (Hamburg-Altona)
Q1419835	Fischbeker Heide
Q114808801	Fischers Allee
Q1420359	Fischmarkt (Hamburg)
Q106605244	Flachsland (Hamburg)
Q96376709	Fleethaus Hamburg-Harburg
Q114808814	Fleetplatz (Hamburg)
Q26219754	Fleetschlösschen
Q2237848	Fleischgroßmarkt Hamburg
Q106605245	Flemingstraße (Hamburg)
Q106605246	Fliederweg
Q106605247	Flora-Neumann-Straße
Q114808815	Flotowstraße (Hamburg)
Q944351	Flottbektal
Q106605248	Flughafenstraße (Hamburg)
Q114808816	Flurstraße (Hamburg)
Q1434349	Flussschifferkirche Hamburg
Q106605249	Fontenay (Hamburg)
Q114808817	Fontenay-Allee
Q18624152	Fontenay-Denkmal
Q106605250	Foorthkamp
Q437745	Former railway station Bergedorf
Q894009	Former synagogue at Bornplatz Hamburg
Q99485123	Former synagogue Erste Brunnenstrasse Hamburg
Q107740390	Former synagogue Neve Shalom in Altona
Q106605251	Forsmannstraße
Q77597218	Frahmredder
Q106605252	Frahmstraße (Hamburg)
Q106605253	Francoper Straße
Q114808818	Frankenstraße (Hamburg)
Q1807150	Franksche Laubenganghäuser auf dem Dulsberg
Q1450388	Franziskus-Kolleg (Hamburg)
Q66760112	Franz-von-Assisi-Schule (Hamburg)
Q113193790	Frauenkörper im Wind
Q106605254	Frauenthal (Hamburg)
Q15809126	Freie Demokratische Partei in Hamburg
Q113620491	Freihafen-Elbbrücke
Q105659402	Freiluftschule Moorwerder
Q108900690	Freiluftschule Neugraben
Q105529142	Freiluftschule Wohldorf
Q110601972	Freiwillige Feuerwehr Allermöhe
Q113732719	Freiwillige Feuerwehr Billstedt-Horn
Q110602302	Freiwillige Feuerwehr Curslack
Q111317620	Freiwillige Feuerwehr Francop
Q109300963	Freiwillige Feuerwehr Hausbruch
Q109299967	Freiwillige Feuerwehr Moorburg
Q111473612	Freiwillige Feuerwehr Moorwerder
Q110304632	Freiwillige Feuerwehr Neudorf (Hamburg)
Q113772602	Freiwillige Feuerwehr Neugraben
Q111843099	Freiwillige Feuerwehr Nienstedten
Q114134042	Freiwillige Feuerwehr Pöseldorf
Q113499777	Freiwillige Feuerwehr Sasel
Q110315824	Freiwillige Feuerwehr Spadenland
Q76313493	Frettchenweg (Hamburg)
Q114808819	Frickestraße (Hamburg)
Q94771453	Fridtjof-Nansen-Schule (Hamburg)
Q106992066	Friedastraße (Hamburg)
Q114808820	Friedensallee (Hamburg)
Q96162554	Friedenskirche (Hamburg-Farmsen-Berne)
Q108566780	Friedenskirche (Hamburg-Jenfeld)
Q28374409	Friedenskirche (Hamburg-St. Pauli)
Q106605255	Friedenstraße (Hamburg)
Q1457488	Friedhof Öjendorf
Q18286210	Friedhof Altona
Q1399761	Friedhof Bergedorf
Q41680828	Friedhof Blankenese
Q21205543	Friedhof der Namenlosen Neuwerk
Q26821519	Friedhof Groß Flottbek
Q16920677	Friedhof Norderreihe Altona
Q562211	Friedhof Ohlsdorf
Q2127412	Friedhof Rahlstedt
Q107208540	Friedhof Tonndorf
Q114808822	Friedhofstraße (Hamburg)
Q106605256	Friedrich-Ebert-Damm (Hamburg)
Q882453	Friedrich-Ebert-Gymnasium (Hamburg)
Q106605257	Friedrich-Ebert-Straße (Hamburg)
Q106605258	Friedrich-Frank-Bogen
Q114808823	Friedrich-Kirsten-Straße
Q106962717	Friedrich-Robbe-Institut
Q47535872	Friedrichsberger Brücke (Hamburg)
Q51772336	Friedrichsberger Park
Q106605259	Friedrichsberger Straße (Hamburg)
Q106605260	Friedrichstraße (Hamburg)
Q106605261	Friesenstraße (Hamburg)
Q84493875	Fritz-Köhne-Schule
Q106605262	Fritz-Schumacher-Allee
Q28946766	Fritz-Schumacher-Schule
Q50212429	Fritz-Schumacher-Siedlung
Q15810829	Frohbotschaftskirche (Hamburg-Dulsberg)
Q106605263	Frohmestraße
Q106605264	Fruchtallee (Hamburg)
Q114808825	Frustbergstraße
Q106605265	Fuhlentwiete
Q26821521	Fuhlsbüttler Straße
Q11923300	Furtbek
Q106605266	Furtweg (Hamburg)
Q1558764	Gängeviertel (Hamburg)
Q1558796	Gänsemarkt
Q107159248	Göhlbachtal
Q1559591	Görtz-Palais
Q106605324	Güntherstraße (Hamburg)
Q1562227	Güterumgehungsbahn Hamburg
Q50250808	Galerie Weber in Hamburg
Q1492309	Galleria (Hamburg)
Q811949	Gardens and parks in Hamburg
Q106605267	Garstedter Weg (Hamburg)
Q106393914	Garstedter Weg 9 (Hamburg)
Q1494692	Gartenstadt Berne
Q31839652	Gartenstadt Farmsen
Q31202344	Gasolin-Tankstelle Billhorner Röhrendamm 4 (Hamburg)
Q114808830	Gasstraße (Hamburg)
Q106605268	Gaußstraße (Hamburg)
Q105755871	Gaußstraße 51 (Hamburg)
Q106605269	Gazellenkamp
Q106605270	Gebrüder-Wolf-Platz (Hamburg)
Q106605271	Gebweiler Straße
Q11823399	Gedenkhain KZ Neuengamme - Deportierte des Warschauer Aufstandes 1944
Q1004271	Gedenkstätte Bullenhuser Damm
Q2098738	Gedenkstätte Plattenhaus Poppenbüttel
Q1497510	Gedenkstein für die Erhebung Schleswig-Holsteins (Hamburg-Blankenese)
Q79117283	Gedenkstein Neue Dammtorsynagoge (Hamburg)
Q114808832	Geffckenstraße
Q106605272	Gefionstraße (Hamburg)
Q106605273	Gehlengraben
Q106605274	Geibelstraße (Hamburg)
Q882742	Gelehrtenschule des Johanneums
Q28499802	Gemeindehaus St. Michaelis
Q28037564	Gemeindezentrum Mümmelmannsberg
Q1277629	Generation Move
Q106605275	Genslerstraße (Hamburg)
Q1503225	Geologisch-Paläontologisches Museum Hamburg
Q107143114	Geomatikum (Hamburg)
Q114808834	Georg-Heyken-Straße
Q114808837	Georgsplatz (Hamburg)
Q11924090	Georgswerder Schleusengraben
Q106605276	Georg-Thielen-Gasse
Q114808835	Georg-Wilhelm-Straße (Hamburg)
Q106605278	Gerade Straße (Hamburg)
Q1512919	Gerhart-Hauptmann-Platz (Hamburg)
Q106605279	Gerhofstraße
Q114808839	Gerichtstraße (Hamburg)
Q470412	German Institute for Global and Area Studies
Q106605280	Gerritstraße
Q106605281	Gertigstraße
Q114808841	Gertrudenkirchhof (Hamburg)
Q114808844	Gertrudenstraße (Hamburg)
Q65900626	Geschwister-Scholl-Stadtteilschule
Q114808846	Geschwister-Scholl-Straße (Hamburg)
Q105480861	Gesellschaftsspiegel
Q19284024	Gewerkschaftshaus (Hamburg)
Q24068718	Girardethaus
Q67086172	Gisela Engelin-Hommes, Zirkusreiterin
Q106605286	Glückel-von-Hameln-Straße
Q106605282	Glacischaussee
Q106605283	Glashüttenstraße (Hamburg)
Q315684	Glinder Au
Q106605285	Glindweg (Hamburg)
Q106382358	Globushof
Q24505389	Glockengießerwall
Q106605287	Gluckstraße (Hamburg)
Q106605288	Gnadenbergweg
Q108566781	Gnadenkirche (Hamburg-Lohbrügge)
Q9187671	Gnadenkirche St. Pauli
Q106605289	Gneisenaustraße (Hamburg)
Q1540603	Goßlerhaus
Q1321149	Goßlers Park
Q106605290	Godeffroystraße (Hamburg)
Q47507434	Goebenbrücke (Hamburg)
Q114808848	Goebenstraße (Hamburg)
Q106605291	Goernestraße
Q114808851	Goetheallee (Hamburg)
Q113977016	Goetheallee 5-7 (Hamburg)
Q1534110	Goethe-Gymnasium (Hamburg)
Q106605293	Goethestraße (Hamburg)
Q114808854	Gojenbergsweg
Q1534721	Goldbekkanal
Q106605294	Goldbekplatz
Q66103050	Goldbek-Schule
Q106605295	Goldbekufer
Q1535030	Golden Pudel Club
Q100806034	Goldmariekengraben
Q92598718	Gorch-Fock-Schule (Hamburg)
Q106605296	Gorch-Fock-Wall (Hamburg)
Q882956	Gose Elbe
Q106605297	Gottschedstraße (Hamburg)
Q106692977	Grünanlage Willersweg
Q106605321	Grüner Winkel
Q1550320	Grünspan
Q113137846	Grab Henning Voscherau auf dem Friedhof Ohlsdorf
Q99541032	Graben am Ree
Q104218067	Graben Bahnhofsviertel
Q98768919	Graben Stadionstraße
Q106605298	Grabenstraße (Hamburg)
Q19284327	Graf-Goltz-Kaserne (Hamburg)
Q114808856	Gramkowweg
Q114808859	Grandeswerder Straße
Q106605299	Grandweg (Hamburg)
Q77041738	Grasbrookpark
Q106605300	Graskeller
Q114808861	Grasredder (Hamburg)
Q106605301	Grasweg (Hamburg)
Q106605302	Graumannsweg
Q106605303	Graumanntwiete
Q104216876	Graumanntwiete 5
Q70201050	Grave Bendixen at Friedhof Ohlsdorf
Q98841506	Grave Hadeler (Karin Hertz) at Friedhof Ohlsdorf
Q67142233	Grave KH Engelin at Friedhof Ohlsdorf
Q67142664	Grave Veit Engelin at Friedhof Ohlsdorf
Q107300682	Greifenbergpark
Q106605304	Greifswalder Straße (Hamburg)
Q106605305	Grellkamp (Hamburg)
Q105582355	Gretel-Bergmann-Schule
Q11924715	Grevenhofkanal
Q106605306	Grevenweg (Hamburg)
Q106605307	Griegstraße (Hamburg)
Q106713012	Grimm
Q106605309	Grindelallee
Q111901527	Grindelallee 100
Q106371754	Grindelallee 117
Q106605310	Grindelberg
Q1546956	Grindelhochhäuser
Q114808865	Grindelweg (Hamburg)
Q108566782	Groß Flottbeker Kirche (Hamburg)
Q114808870	Große Bäckerstraße (Hamburg)
Q1548151	Große Bergstraße (Hamburg)
Q27669941	Große Bleichen (Hamburg)
Q114808867	Große Brunnenstraße (Hamburg)
Q26836571	Große Elbstraße
Q316958	Große Flottbek
Q895867	Große Freiheit
Q15137841	Große Freiheit 36
Q104870500	Große Freiheit 63
Q114808871	Große Johannisstraße (Hamburg)
Q79798064	Große Liegende (Barbara Haeger, 1956)
Q44444852	Große Reichenstraße
Q1548641	Großer Burstah
Q106605314	Großer Grasbrook
Q106605315	Großer Schippsee (Hamburg)
Q106605316	Großer Trampgang
Q106605317	Großheidestraße (Hamburg)
Q1549478	Großneumarkt
Q76307559	Großneumarktbrunnen
Q110970310	Großwohnsiedlung Hamburg-Steilshoop
Q106605311	Groothoffgasse
Q106605312	Grootsruhe (Hamburg)
Q106605313	Gropiusring (Hamburg)
Q106605319	Grote Raak
Q96979283	Grothwischgraben
Q114808873	Grube (Hamburg)
Q106605320	Grumbrechtstraße
Q106811742	Grundschule Buckhorn
Q90043460	Grundschule Horn (Hamburg)
Q96193701	Grundschule Lohkampstraße
Q98934360	Grundschule Mümmelmannsberg
Q83784643	Grundschule Sachsenweg
Q91442810	Grundschule Stübenhofer Weg
Q96323170	Grundschule St. Pauli
Q19310793	Gruner + Jahr Verlagshaus Baumwall
Q106605323	Gryphiusstraße (Hamburg)
Q11924800	Guanofleet
Q1555231	Gurlitt-Insel
Q114808874	Gurlittstraße (Hamburg)
Q11925009	Gussau
Q1555405	Gustaf-Adolfskyrkan (Hamburg)
Q56641015	Gustav Mahler-Museum, Hamburg
Q106605325	Gustav-Falke-Straße
Q106605326	Gustav-Freytag-Strasse (Hamburg)
Q106605327	Gustav-Leo-Straße
Q28314181	Gustav-Mahler-Park
Q17123453	Gut Karlshöhe
Q107445411	Gut Marienhöhe
Q1454260	Gymnasium Allee (Hamburg)
Q65998271	Gymnasium Allermöhe
Q1558060	Gymnasium Alstertal
Q1558062	Gymnasium Altona
Q41576002	Gymnasium Blankenese
Q1558078	Gymnasium Bondenwald
Q1558081	Gymnasium Bornbrook
Q60024528	Gymnasium Buckhorn
Q65999288	Gymnasium Dörpsweg
Q1558106	Gymnasium Eppendorf
Q1558112	Gymnasium Farmsen
Q65998915	Gymnasium Finkenwerder
Q69997166	Gymnasium Hamm (Hamburg)
Q1387373	Gymnasium Heidberg
Q63183783	Gymnasium Hochrad
Q18624903	Gymnasium Hoheluft
Q63086254	Gymnasium Hummelsbüttel
Q27920019	Gymnasium Lerchenfeld
Q65783704	Gymnasium Lohbrügge
Q1558182	Gymnasium Meiendorf
Q1427207	Gymnasium Oberalster
Q66004142	Gymnasium Ohmoor
Q1558205	Gymnasium Oldenfelde
Q1558206	Gymnasium Osterbek
Q66004193	Gymnasium Othmarschen
Q66004249	Gymnasium Rahlstedt
Q66133369	Gymnasium Rissen
Q108340770	Gymnasium Rotherbaum
Q1558244	Gymnasium Süderelbe
Q66619427	Gyula-Trebitsch-Schule Tonndorf
Q106605417	Högerdamm (Hamburg)
Q106605429	Höhnkoppelort
Q106605430	Hölertwiete
Q1321287	Höltigbaum
Q106605445	Höltystraße (Hamburg)
Q106605447	Höpen (Hamburg)
Q106605453	Hübenerstraße (Hamburg)
Q76164745	Hübner-Haus (Hamburg)
Q17353668	Hühnerposten (Hamburg)
Q106605460	Hüllenkamp
Q106605463	Hürtweg
Q106605464	Hütten (Hamburg)
Q106605328	Haakestraße
Q106690037	Habichtsplatz
Q114808876	Habichtstraße (Hamburg)
Q61736039	Hachmannbrücke
Q106605329	Hachmannplatz
Q106605330	Haderslebener Straße (Hamburg)
Q20181604	Hafen Rock
Q1567914	Hafenbahnhof Hamburg Süd
Q114103043	Hafenbezirk
Q26837060	HafenCity RiverBus
Q1567931	Hafengeburtstag
Q19686386	Hafenklang
Q1567944	Hafenkrankenhaus
Q1408998	Hafenmuseum (Hamburg)
Q56878399	Hafenpolizeiwache No 2
Q106605331	Hafentor (Hamburg)
Q106605332	Haferkamp (Hamburg)
Q114808877	Hagenbeckstraße (Hamburg)
Q114808878	Haidlandsweg
Q1677672	Hainesch-Iland
Q106605333	Halbenkamp
Q114808880	Haldesdorfer Straße
Q114808881	Halifaxweg
Q114808883	Hallerplatz
Q98164575	Hallerstraße
Q106605334	Halstenbeker Straße (Hamburg)
Q106605335	Hamborner Stieg
Q27706	Hamburg Airport
Q1572883	Hamburg Commonwealth War Graves Commission Cemetery
Q1648668	Hamburg Cruise Center Altona
Q1572885	Hamburg Cruise Center HafenCity
Q16319382	Hamburg Cruise Center Steinwerder
Q882600	Hamburg Dungeon
Q6456	Hamburg Hauptbahnhof
Q43202951	Hamburg Süd (building)
Q21584342	Hamburg Triathlon
Q882140	Hamburg-Altonaer Verbindungsbahn
Q558551	Hamburger Börse
Q106605336	Hamburger Berg
Q1572987	Hamburger Deckel
Q1572997	Hamburger Ehrenmal für die Gefallenen beider Weltkriege
Q1573007	Hamburger Flaktürme
Q19963918	Hamburger Genossenschaftsmuseum
Q106605339	Hamburger Hochstraße
Q1229183	Hamburger Hof, Hamburg
Q5644305	Hamburger Institut für Sozialforschung
Q1573051	Hamburger Konservatorium
Q1573072	Hamburger Marschbahn
Q880649	Hamburger Rathausmarkt
Q1573125	Hamburger Schulmuseum
Q1573143	Hamburger Sportbund
Q2472	Hamburger Stadtpark
Q60747679	Hamburger Volksoper
Q1572803	Hamburg-Haus Eimsbüttel
Q770838	Hamburgische Münze
Q1573230	Hamburgisches Architekturarchiv
Q60666151	Hamburgisches Wattenmeer (FFH-Gebiet)
Q1601723	Hamburg-Nettelnburg
Q106605341	Hammer Hof
Q46422296	Hammer Landstraße
Q94521414	Hammer Steindamm
Q106605342	Hammer Straße (Hamburg)
Q19284721	Hammerbrookschleuse
Q106605343	Hammerbrookstraße
Q19284723	Hammonia-Bad
Q72587904	Handelsschule Berliner Tor
Q114808884	Handweg (Hamburg)
Q240059	Hannover–Hamburg railway line
Q106605345	Hannoversche Straße (Hamburg)
Q1572904	Hannoverscher Bahnhof
Q109771339	Hansaburg (Hamburg-Hamm)
Q1583589	Hansa-Gymnasium Bergedorf
Q109970818	Hansa-Kolleg (Hamburg)
Q24886347	Hans-Albers-Platz (Hamburg)
Q1583648	Hansaport
Q264222	Hansa-Theater (Hamburg)
Q1583703	Hanseatic Trade Center
Q14906769	Hanse-Viertel (Hamburg)
Q106605346	Hans-Fitze-Straße (Hamburg)
Q106605347	Hanssensweg
Q11925998	Harburger Holzhafen
Q106605348	Harburger Rathausplatz (Hamburg)
Q106605349	Harburger Rathausstraße
Q1584939	Harburger Schloßstraße
Q1584937	Harburger Schloss
Q1584941	Harburger Stadtpark
Q106605351	Harders Kamp
Q106605352	Harkortstraße (Hamburg)
Q106605354	Harksheider Straße
Q106605355	Hartmannsau
Q106605356	Hartungstraße (Hamburg)
Q106605357	Hartwicusstraße
Q106605358	Hartzlohplatz
Q29048943	Hasenbergbrücke
