Q106605756	Category:%C3%96jendorfer_Damm
Q114808714	Category:Breslauer_Stra%C3%9Fe_(Hamburg)
Q1572999	Category:Bridges_over_the_Elbe_in_Hamburg
Q106605085	Category:Brockdorffstra%C3%9Fe
Q106605086	Category:Brockesstra%C3%9Fe_(Hamburg)
Q108566760	Category:Broder-Hinrick-Kirche_(Hamburg-Langenhorn)
Q106605088	Category:Brombeerweg
Q106605089	Category:Brook_(Hamburg)
Q96973833	Category:Brookgraben
Q98075493	Category:Brookkampsgraben
Q96376611	Category:Brooksfleet
Q990608	Category:Brookwetterung
Q990681	Category:Broschekhaus
Q106605090	Category:Brucknerstra%C3%9Fe_(Hamburg)
Q106605091	Category:Bruno-Georges-Platz
Q114808716	Category:Brunsberg_(Hamburg)
Q106605092	Category:Brunsstra%C3%9Fe_(Hamburg)
Q1821452	Category:Bubendey-Ufer_Oberfeuer
Q1821467	Category:Bubendey-Ufer_Unterfeuer
Q114808718	Category:Bubendeyweg
Q877566	Category:Bucerius_Kunst_Forum
Q114808721	Category:Buchheisterstra%C3%9Fe
Q100774814	Category:Buckhoopgraben
Q114808723	Category:Buckhorn_(Hamburg)
Q1000672	Category:Budapester_Stra%C3%9Fe_(Hamburg)
Q1001375	Category:Budge-Palais
Q106605093	Category:Buenos-Aires-Kai_(Hamburg)
Q1002408	Category:Bugenhagenkirche_(Hamburg-Barmbek)
Q108566761	Category:Bugenhagenkirche_(Hamburg-Bergedorf)
Q78907266	Category:Bugenhagenschule_Alsterdorf
Q94371090	Category:Bugenhagenschule_Blankenese
Q93338233	Category:Bugenhagenschule_Gro%C3%9F_Flottbek
Q92385985	Category:Bugenhagenschule_Hamm
Q88265899	Category:Bugenhagenschule_Ottensen
Q114808726	Category:Bugenhagenstra%C3%9Fe_(Hamburg)
Q28739878	Category:Building_of_the_Patriotische_Gesellschaft_von_1765
Q106605094	Category:Bullenhuser_Damm
Q11910168	Category:Bullenhuser_Kanal
Q106605095	Category:Bullerdeich
Q107659584	Category:Bult_10_(Hamburg)
Q106605096	Category:Bunatwiete
Q17036	Category:Bundesautobahn_253
Q106605097	Category:Bundesstra%C3%9Fe_(Hamburg)
Q55869	Category:Bundesstra%C3%9Fe_207
Q34446	Category:Bundesstra%C3%9Fe_4
Q101992297	Category:Bundesstra%C3%9Fe_41_(Hamburg)
Q882422	Category:Bundesstra%C3%9Fe_431
Q879304	Category:Bundesstra%C3%9Fe_432
Q1007125	Category:Bundesstra%C3%9Fe_433
Q1007119	Category:Bundesstra%C3%9Fe_434
Q1007130	Category:Bundesstra%C3%9Fe_435
Q1007157	Category:Bundesstra%C3%9Fe_447
Q52720	Category:Bundesstra%C3%9Fe_73
Q52722	Category:Bundesstra%C3%9Fe_75
Q1009270	Category:Bundeswehrkrankenhaus_Hamburg
Q2664261	Category:Bunth%C3%A4user_Spitze
Q114808728	Category:Burchardplatz
Q106605099	Category:Burchardstra%C3%9Fe_(Hamburg)
Q19276057	Category:Burgruine_Henneberg_(Nachbildung)
Q106605100	Category:Burgstra%C3%9Fe_(Hamburg)
Q106605101	Category:Burgunderweg_(Hamburg)
Q98347349	Category:Burgwedelau
Q98314152	Category:Busanbr%C3%BCcke
Q3647646	Category:Bust_of_Alessandro_Peretti_di_Montalto_(Bernini)
Q106605102	Category:Buxtehuder_Stra%C3%9Fe_(Hamburg)
Q19798476	Category:Caf%C3%A9_Andersen
Q1025623	Category:Caf%C3%A9_Keese_(Hamburg)
Q104860490	Category:Caf%C3%A9_Seeterrassen
Q33926956	Category:Caffamacherreihe
Q105547318	Category:Campus_Hebebrandstra%C3%9Fe
Q114345313	Category:Campus_Tower_(Hamburg)
Q108566762	Category:Cantate-Kirche_(Hamburg-Duvenstedt)
Q114808735	Category:Caracasweg
Q56640733	Category:Carl_Philipp_Emanuel_Bach_Museum,_Hamburg
Q75514844	Category:Carl-Cohn-Schule
Q106605104	Category:Carl-Cohn-Stra%C3%9Fe
Q79044985	Category:Carl-G%C3%B6tze-Schule
Q106605105	Category:Carl-Petersen-Stra%C3%9Fe_(Hamburg)
Q1036600	Category:Carl-Schultze-Theater
Q1036637	Category:Carl-von-Ossietzky-Gymnasium_(Hamburg)
Q106605106	Category:Carl-von-Ossietzky-Platz_(Hamburg)
Q106605107	Category:Carsten-Rehder-Stra%C3%9Fe
Q106605108	Category:Caspar-Voght-Stra%C3%9Fe_(Hamburg)
Q190383	Category:Central_bus_station_Hamburg
Q1054368	Category:Centrum-Moschee_(Hamburg)
Q62998711	Category:Channel_Hamburg_Tower
Q106605109	Category:Chapeaurougeweg
Q106605110	Category:Charlottenburger_Stra%C3%9Fe_(Hamburg)
Q1067082	Category:Charlotte-Paulsen-Gymnasium
Q106605111	Category:Chateauneufstra%C3%9Fe
Q106605112	Category:Chaussee_in_Hamburg
Q106605113	Category:Chemnitzstra%C3%9Fe_(Hamburg)
Q542783	Category:Chilehaus
Q317150	Category:Christianeum
Q106605114	Category:Christian-F%C3%B6rster-Stra%C3%9Fe
Q56426100	Category:Christian-Morgenstern-Schule_(Hamburg)
Q1082972	Category:Christianskirche_(Hamburg-Ottensen)
Q61310657	Category:Christ-K%C3%B6nig-Kirche_(Hamburg-Lokstedt)
Q23041392	Category:Christmas_markets_in_Hamburg
Q15794346	Category:Christoph_Hansa_(air_ambulance)
Q25104624	Category:Christopher_Street_Day_in_Hamburg
Q108566763	Category:Christopherus-Kirche_(Hamburg-Bergedorf)
Q20754121	Category:Christophorus-Kirche_(Hamburg-Hummelsb%C3%BCttel)
Q106653192	Category:Christophorus-Schule_(Hamburg)
Q114808738	Category:Christoph-Probst-Weg_(Hamburg)
Q108566765	Category:Christuskirche_(Hamburg-Eidelstedt)
Q1087322	Category:Christuskirche_(Hamburg-Eimsb%C3%BCttel)
Q1087323	Category:Christuskirche_(Hamburg-Hamm)
Q1087320	Category:Christuskirche_(Hamburg-Othmarschen)
Q1087331	Category:Christuskirche_(Hamburg-Wandsbek)
Q108566764	Category:Christuskirche_Altona
Q106605115	Category:Chrysanderstra%C3%9Fe
Q110226251	Category:Chrysanderstra%C3%9Fe_4
Q1093777	Category:City-Center_Bergedorf
Q19277450	Category:City-Hof
Q21036574	Category:City-Nord-Park
Q321980	Category:City-S-Bahn
Q65891936	Category:Clara-Grunwald-Schule_(Hamburg)
Q106605116	Category:Claudiusstra%C3%9Fe_(Hamburg)
Q114808740	Category:Claus-Ferck-Stra%C3%9Fe
Q1098963	Category:Claussen-Simon-Stiftung
Q106605117	Category:Clemens-Schultz-Stra%C3%9Fe
Q1103179	Category:Club_de_Sade
Q1110928	Category:Colonnaden
Q896114	Category:Congress_Center_Hamburg
Q5164573	Category:Consulate_General_of_the_United_States_in_Hamburg
Q62092128	Category:Consulate-General_of_Japan,_Hamburg
Q1128491	Category:Container_Terminal_Altenwerder
Q14538517	Category:Container_Terminal_Burchardkai
Q1128489	Category:Container_Terminal_Tollerort
Q106605118	Category:Cordesweg
Q108566766	Category:Cornelius-Kirche_(Hamburg-Neugraben-Fischbek)
Q1134922	Category:Corps_Irminsul
Q114808743	Category:Corveystra%C3%9Fe_(Hamburg)
Q821065	Category:Cremon_(street)
Q23984396	Category:Cremon_11
Q87648655	Category:Cremonbr%C3%BCcke
Q87412854	Category:Critical_Mass_in_Hamburg
Q106605120	Category:Curschmannstra%C3%9Fe_(Hamburg)
Q114808745	Category:Curslacker_Deich
Q109600947	Category:Curslacker_Deich_140
Q114808748	Category:Curslacker_Heerweg
Q110598500	Category:Curslacker_Heerweg_1
Q114808750	Category:Curslacker_Neuer_Deich
Q106605121	Category:Cuxhavener_Stra%C3%9Fe_(Hamburg)
Q113494406	Category:Cuxhavener_Stra%C3%9Fe_400
Q108303627	Category:Cuxhavener_Stra%C3%9Fe_566
Q97456403	Category:Cycling_in_Hamburg
Q106605149	Category:D%C3%B6rpsweg_(Hamburg)
Q20107943	Category:D%C3%BCbwischgraben
Q20107947	Category:D%C3%BCngelau
Q877305	Category:D%C3%BCpenau
Q106605158	Category:D%C3%BCppelstra%C3%9Fe_(Hamburg)
Q106605162	Category:D%C3%BCsternstra%C3%9Fe_(Hamburg)
Q28314183	Category:Dag-Hammarskj%C3%B6ld-Br%C3%BCcke
Q106605122	Category:Daimlerstra%C3%9Fe_(Hamburg)
Q1157804	Category:Dalbek
Q106605123	Category:Dalmannkai
Q30112705	Category:Dammbr%C3%BCcke
Q1158671	Category:Dammtor
Q106605124	Category:Dammtordamm
Q27729245	Category:Dammtorstra%C3%9Fe
Q106605125	Category:Dammtorwall
Q101513784	Category:Dankeskirche_(Hamburg-Rahlstedt)
Q59689078	Category:Dankeskirche_Hamm-S%C3%BCd_(Hamburg-Hamm)
Q109329438	Category:Danske_Hus_(Hamburg)
Q106605126	Category:Danziger_Stra%C3%9Fe_(Hamburg)
Q106605127	Category:Dar-es-Salaam-Platz
Q876959	Category:Das_Schiff_(ship,_1912)
Q47003628	Category:Davidstra%C3%9Fe
Q828629	Category:Deepenhorngraben
Q108691310	Category:Deepenwiesengraben
Q106605128	Category:Dehnhaide_(Hamburg)
Q1183151	Category:Deichstra%C3%9Fe_(Hamburg)
Q113455861	Category:Deichstra%C3%9Fe_19_(Hamburg-Altstadt)
Q114773784	Category:Deichstra%C3%9Fe_37_(Althamburger_B%C3%BCrgerhaus)
Q106188753	Category:Deichtor-Center
Q1183156	Category:Deichtorhallen
Q113160710	Category:Deichtortunnel
Q106605130	Category:Delingsdorfer_Weg
Q1495180	Category:Demolition_of_the_HEW_power_station_in_Hamburg-Moorburg
Q107183590	Category:Dempwolffstra%C3%9Fe
Q55833210	Category:Denickestra%C3%9Fe_(Hamburg)
Q106605132	Category:Denksteinweg
Q106605133	Category:Depenau_(Hamburg)
Q1191587	Category:Deponie_Hamburg-Georgswerder
Q106605134	Category:Deseni%C3%9Fstra%C3%9Fe
Q1200605	Category:Deserteurdenkmal_(Hamburg)
Q114808753	Category:Dessauer_Stra%C3%9Fe_(Hamburg)
Q311801	Category:DESY
Q106605135	Category:Detlev-Bremer-Stra%C3%9Fe
Q1201734	Category:Deutsch-Australische_Dampfschiffs-Gesellschaft
Q113402114	Category:Deutsche_Bundesbank_Hamburg
Q23836119	Category:Deutsche_Kriegsgr%C3%A4berst%C3%A4tte_Hamburg-Bergedorf
Q14906557	Category:Deutsche_Kriegsgr%C3%A4berst%C3%A4tte_Hamburg-Ohlsdorf
Q317179	Category:Deutsche_Zentralbibliothek_f%C3%BCr_Wirtschaftswissenschaften
Q1205784	Category:Deutsches_Klimarechenzentrum
Q450777	Category:Deutsches_Schauspielhaus
Q1206139	Category:Deutsches_Zusatzstoffmuseum
Q1450671	Category:Deutsch-Franz%C3%B6sisches_Gymnasium_(Hamburg)
Q1206343	Category:Deutschlandhaus_Hamburg
Q114808755	Category:Diagonalstra%C3%9Fe
Q457196	Category:Dialogue_in_the_Dark
Q11917079	Category:Diamantgraben
Q111016895	Category:Die_Elbe_(Hamburg,_Wieland_F%C3%B6rster)
Q106605136	Category:Diedenhofener_Stra%C3%9Fe_(Hamburg)
Q11917158	Category:Diekbek
Q106605137	Category:Diekmoorweg
Q106605138	Category:Dienerreihe
Q114808758	Category:Diestelstra%C3%9Fe
Q94960832	Category:Dietrich_Bonhoeffer-Denkmal_(Hamburg)
Q108566767	Category:Dietrich-Bonhoeffer-Kirche_(Hamburg-Dulsberg)
Q14551353	Category:Dietrich-Bonhoeffer-Kirche_Oldenfelde_(Hamburg-Rahlstedt)
Q114808761	Category:Dillstra%C3%9Fe_(Hamburg)
Q114808762	Category:Dithmarscher_Stra%C3%9Fe
Q96631634	Category:Ditmar-Koel-Stra%C3%9Fe_(Hamburg-Neustadt)
Q106605139	Category:Doberaner_Weg_(Hamburg)
Q106605140	Category:Dockenhudener_Stra%C3%9Fe_(Hamburg)
Q1233751	Category:Dockland,_Hamburg
Q1233759	Category:Docks_Hamburg
Q106605141	Category:Dohrnweg_(Hamburg)
Q18121807	Category:Dominikanerkloster_St._Johannis_(Hamburg)
Q573491	Category:Domkirche_St._Marien_(Hamburg)
Q105337998	Category:Domplatz_(Hamburg)
Q89281413	Category:Domschule_St._Marien_(Hamburg)
Q106605142	Category:Domstra%C3%9Fe_(Hamburg)
Q1241886	Category:Donners_Park
Q106605143	Category:Donnerstra%C3%9Fe_(Hamburg)
Q106605144	Category:Doormannsweg
Q106605145	Category:Dorfgang_(Hamburg)
Q106605146	Category:Dornbusch_(Hamburg)
Q106605148	Category:Dorotheenstra%C3%9Fe_(Hamburg)
Q106605150	Category:Dortmunder_Stra%C3%9Fe_(Hamburg)
Q315688	Category:Dove_Elbe
Q106605151	Category:Dovenfleet_(Hamburg)
Q114808765	Category:Dradenaustra%C3%9Fe
Q106605152	Category:Dragonerstall
Q106605153	Category:Dratelnstra%C3%9Fe
Q106605154	Category:Drehbahn
Q1308438	Category:Dreieinigkeitskirche,_St._Georg
Q11722101	Category:Dreieinigkeitskirche_(Hamburg-Allerm%C3%B6he)
Q108566768	Category:Dreieinigkeitskirche_(Hamburg-Billstedt)
Q1170288	Category:Dreifaltigkeitskirche_(Hamburg-Hamm)
Q110667284	Category:Dreiteiliges_Objekt_(Hamburg-Rotherbaum)
Q110423143	Category:DRK-Studentenwohnheim_Bieberstra%C3%9Fe
Q24572859	Category:Drosselstra%C3%9Fe_(Hamburg)
Q106605155	Category:Duisburger_Stra%C3%9Fe_(Hamburg)
Q66001171	Category:Dulsbergbad
Q106605156	Category:Dulsberg-Nord
Q106605157	Category:Dulsberg-S%C3%BCd
Q106605159	Category:Durchdeich
Q106605161	Category:Duschweg
Q96964235	Category:Duvenackergraben
Q1648316	Category:Duvenstedter_Brook
Q106605163	Category:Duvenstedter_Damm
Q107453258	Category:Duwockskamp
Q107428527	Category:Duwockskamp_1
Q11917874	Category:Dwarspriel
Q97999593	Category:Dyke_March_Hamburg_2020
Q52153922	Category:E45_(Germany)
Q106605164	Category:Ebelingplatz_(Hamburg)
Q15807180	Category:Ebenezer-Krankenhaus_(Hamburg-Barmbek)
Q106605165	Category:Eberhofstieg
Q106605166	Category:Eberhofweg
Q114808767	Category:Ebertallee_(Hamburg)
Q114808771	Category:Ebner-Eschenbach-Weg_(Hamburg)
Q108057295	Category:Echte_Mamas
Q106605167	Category:Eckernf%C3%B6rder_Stra%C3%9Fe_(Hamburg)
Q106605168	Category:Eddelb%C3%BCttelstra%C3%9Fe_(Hamburg)
Q26821570	Category:Edel-optics.de_Arena
Q110667428	Category:Edelstahlskulptur_(Hamburg,_Ida-Ehre-Platz)
Q1284900	Category:Edith-Stein-Kirche_(Hamburg-Neuallerm%C3%B6he)
Q23780480	Category:Edmund-Haus
Q106605169	Category:Edmund-Siemers-Allee
Q106605170	Category:Eduard-Rhein-Ufer
Q106605171	Category:Eduardstra%C3%9Fe_(Hamburg)
Q106605172	Category:Edwin-Scharff-Ring
Q106605173	Category:Eekboomkoppel
Q77810532	Category:Eekbusch
Q106605174	Category:Efeuweg_(Hamburg)
Q1670652	Category:Ehem._J%C3%BCdischer_Friedhof_am_Grindel_(Hamburg-Rotherbaum)
Q108566769	Category:Ehemalige_Kapelle,_Henny-Sch%C3%BCtz-Allee
Q100447920	Category:Ehemaliges_Restaurant_Randel,_Geb%C3%A4ude
Q106605175	Category:Ehestorfer_Heuweg
Q106605176	Category:Ehestorfer_Weg
Q19278901	Category:Ehrenhain_Hamburgischer_Widerstandsk%C3%A4mpfer
Q1300206	Category:Ehrenmal_der_Radiologie
Q62592549	Category:Ei%C3%9Fendorfer_Forst
Q114808779	Category:Ei%C3%9Fendorfer_Grenzweg
Q106605184	Category:Ei%C3%9Fendorfer_Pferdeweg
Q55833670	Category:Ei%C3%9Fendorfer_Stra%C3%9Fe
Q114808773	Category:Eichengrund_(Hamburg)
Q106605177	Category:Eichenkamp_(Hamburg)
Q106605178	Category:Eichholz_(Hamburg)
Q1296746	Category:Eichtalpark
Q107390833	Category:Eidelstedter_B%C3%BCrgerhaus
Q114808775	Category:Eidelstedter_Weg
Q106605179	Category:Eiffestra%C3%9Fe
Q106605180	Category:Eifflerstra%C3%9Fe
Q104812793	Category:Eifflerstra%C3%9Fe_3
Q55525469	Category:Eilbeker_B%C3%BCrgerpark
Q106605181	Category:Eilbeker_Weg
Q106605182	Category:Eilbektal
Q106605183	Category:Eilenau_(Hamburg)
Q47507433	Category:Eimsb%C3%BCtteler_Br%C3%BCcke
Q114808777	Category:Eimsb%C3%BCtteler_Stra%C3%9Fe
Q108566770	Category:Eirene-Kirche_Hamburg-Langenhorn
Q106605186	Category:Elbberg_(Hamburg)
Q65659993	Category:Elbbergbr%C3%BCcke
Q111964585	Category:Elbchaussee_530
Q14370908	Category:Elbe-Einkaufszentrum_(Hamburg)
Q882270	Category:Elberadweg
Q1325085	Category:Elbe-Werkst%C3%A4tten
Q104381856	Category:Elbhochbr%C3%BCcke
Q1325319	Category:Elbhof
Q32043252	Category:Elbpark_Entenwerder
Q114808781	Category:Elbterrasse_(Hamburg)
Q28941004	Category:Elbtower
Q114808783	Category:Elbtreppe
Q113006074	Category:Elemente_der_Verbindung_(Heisig%2BSchwerdtfeger,_Hamburg)
Q107291508	Category:Elfenwiese
Q1313918	Category:Elisabethkirche_(Hamburg-Eidelstedt)
Q109833468	Category:Elisabeth-Lange-Schule
Q106605187	Category:Ellenbogen_(Hamburg)
Q28375614	Category:Ellerholz_Oberfeuer
Q66493924	Category:Ellerholz_range_lights
Q28375612	Category:Ellerholz_Unterfeuer
Q106605188	Category:Ellerholzdamm
Q63565270	Category:Ellerholzh%C3%B6ft
Q106316379	Category:Ellerholzkanal
Q63380853	Category:Ellerholzweg_1a
Q1332023	Category:Ellerntorsbr%C3%BCcke
Q106605189	Category:Elligersweg
Q106605190	Category:Ellmenreichstra%C3%9Fe
Q106605191	Category:Els%C3%A4sser_Stra%C3%9Fe_(Hamburg)
Q106605192	Category:Elsastra%C3%9Fe_(Hamburg)
Q18411509	Category:Else-Rauch-Platz
Q106605193	Category:Elversweg
Q106605195	Category:Emekesweg
Q114808784	Category:Emil-Andresen-Stra%C3%9Fe
Q106605197	Category:Emilienstra%C3%9Fe_(Hamburg)
Q63098932	Category:Emilie-W%C3%BCstenfeld-Gymnasium
Q78163793	Category:Emil-Krause-Schule
Q108566771	Category:Emmauskirche_(Hamburg-Hinschenfelde)
Q108566772	Category:Emmauskirche_(Hamburg-Lurup)
Q108566774	Category:Emmauskirche_(Hamburg-Wilhelmsburg)
Q1339302	Category:Empire_Riverside_Hotel
Q1339402	Category:Emporio_(Hamburg)
Q106605198	Category:Enckeplatz
Q104151027	Category:Engelbert_Peiffer_-_Statue_of_Saint_Ansgar_-_Trostbr%C3%BCcke_Hamburg
Q106605199	Category:Englische_Planke
Q109719034	Category:Ensemble_Adolf-von-Elm-Hof/Mehringweg
Q114016365	Category:Ensemble_Heimfelder_Stra%C3%9Fe/Woellmerstra%C3%9Fe
Q112075258	Category:Entenwerder_boat_ramp
Q51832005	Category:Epiphanienkirche_(Hamburg-Winterhude)
Q106605200	Category:Eppendorfer_Baum
Q28661154	Category:Eppendorfer_Br%C3%BCcke
Q106605201	Category:Eppendorfer_Landstra%C3%9Fe_(Hamburg)
Q1347556	Category:Eppendorfer_M%C3%BChlenteich
Q114808786	Category:Eppendorfer_Marktplatz
Q1970944	Category:Eppendorfer_Moor
Q15110378	Category:Eppendorfer_Park
Q29365398	Category:Eppendorfer_Weg
Q106605203	Category:Erdkampsweg
Q101422770	Category:Erich-K%C3%A4stner-Schule_(Hamburg)
Q1353719	Category:Ericusbr%C3%BCcke
Q106605204	Category:Ericusspitze
Q106605206	Category:Erika-Mann-Bogen
Q106605207	Category:Erikastra%C3%9Fe_(Hamburg)
Q106605205	Category:Erik-Blumenfeld-Platz
Q1355744	Category:Erl%C3%B6serkirche_(Hamburg-Borgfelde)
Q108566775	Category:Erl%C3%B6serkirche_(Hamburg-Eimsb%C3%BCttel)
Q1355745	Category:Erl%C3%B6serkirche_(Hamburg-Farmsen-Berne)
Q108566776	Category:Erl%C3%B6serkirche_(Hamburg-Lohbr%C3%BCgge)
Q108566777	Category:Erl%C3%B6serkirche_(Hamburg-Rahlstedt)
Q106605208	Category:Ermlandweg
Q51916	Category:Ernst_Deutsch_Theater
Q49247907	Category:Ernst-August-Kanal_(Hamburg)
Q871581	Category:Ernst-Barlach-Haus
Q106605209	Category:Ernst-Bergeest-Weg
Q106605210	Category:Ernst-Mantius-Stra%C3%9Fe
Q16903674	Category:Ernst-Merck-Halle
Q106605211	Category:Ernst-Merck-Stra%C3%9Fe
Q27886768	Category:Ernst-Schlee-Gymnasium
Q114808788	Category:Ernst-Th%C3%A4lmann-Platz_(Hamburg)
Q475236	Category:Erotic_Art_Museum_Hamburg
Q108566779	Category:Erzengel-Michael-Kirche_(Hamburg-Eilbek)
Q1368275	Category:Esplanade_(Hamburg)
Q106605212	Category:Essener_Bogen_(Hamburg)
Q106605213	Category:Essener_Stra%C3%9Fe_(Hamburg)
Q15808690	Category:Esso-Tankstelle_Reeperbahn
Q430677	Category:Este_(Elbe)
Q106605215	Category:Estebogen
Q106086537	Category:Estedeich_102
Q1821417	Category:Estem%C3%BCndung_lighthouse
Q106605216	Category:Eulenkamp_(Hamburg)
Q114808789	Category:Eulenkrugstra%C3%9Fe
Q106605217	Category:Eulenstra%C3%9Fe_(Hamburg)
Q97156170	Category:Euler_Hermes_building
Q63434071	Category:Eurogate_Container_Terminal_Hamburg
Q1375224	Category:Europa_Passage
Q1375284	Category:Europabr%C3%BCcke_(Hamburg)
Q106605219	Category:F%C3%A4hrhausstra%C3%9Fe_(Hamburg)
Q11923358	Category:F%C3%A4hrkanal_(Hamburg)
Q218604	Category:F%C3%A4hrlinie_Hoopte-Zollenspieker
Q106605220	Category:F%C3%A4hrstra%C3%9Fe_(Hamburg)
Q1572796	Category:F%C3%BCnfhausen_(Hamburg)
Q114808826	Category:F%C3%BCnfhausener_Hauptdeich
Q106605218	Category:Fabriciusstra%C3%9Fe_(Hamburg)
Q1390772	Category:Fabrik_(Hamburg)
Q106605221	Category:Falkenbergsweg
Q106605222	Category:Falkenried_(Hamburg)
Q19279491	Category:Falkenried-Terrassen
Q1394291	Category:Falkensteiner_Ufer
Q106605224	Category:Falkensteiner_Weg_(Hamburg)
Q114808793	Category:Falkenweg_(Hamburg)
Q96943612	Category:Familienbad_Ohlsdorf
Q20108085	Category:Fangdiekgraben
Q56641198	Category:Fanny_%26_Felix_Mendelssohn_Museum,_Hamburg
Q106605225	Category:Farmsener_Landstra%C3%9Fe
Q106605226	Category:Farnstra%C3%9Fe_(Hamburg)
Q106605227	Category:Fassbinderweg
Q884982	Category:Fazle-Omar-Moschee_(Hamburg)
Q106605236	Category:Fe%C3%9Flerstra%C3%9Fe_(Hamburg)
Q28549935	Category:Feenteichbr%C3%BCcke
Q106605228	Category:Feilenhauerweg
Q1402378	Category:Feldbrunnenstra%C3%9Fe
Q106605231	Category:Feldstra%C3%9Fe_(Hamburg)
Q106605232	Category:Felix-Dahn-Stra%C3%9Fe_(Hamburg)
Q106605233	Category:Felix-Jud-Ring
Q106605234	Category:Ferdinandstra%C3%9Fe_(Hamburg)
Q1259721	Category:Fernmeldeturm_Hamburg-Lohbr%C3%BCgge
Q106605235	Category:Fernsicht_(Hamburg)
Q28600335	Category:Fernsichtbr%C3%BCcke
Q106605237	Category:Fettstra%C3%9Fe
Q106605238	Category:Feuerbergstra%C3%9Fe
Q33189243	Category:Feuerschiff_LV_13_(ship,_1952)
Q114808795	Category:Feuerteichweg
Q19279594	Category:Feuerwache_Alsterdorf
Q108560081	Category:Feuerwache_Altona
Q19285020	Category:Feuerwache_Berliner_Tor
Q19279595	Category:Feuerwache_Innenstadt
Q108544031	Category:Feuerwache_Rotherbaum
Q19279596	Category:Feuerwache_Veddel
Q112127919	Category:Feuerwache_Wandsbek
Q108535567	Category:Feuerwache_Wilhelmsburg
Q60666107	Category:FFH-Gebiet_Boberger_D%C3%BCne_und_Hangterrassen
Q60666124	Category:FFH-Gebiet_Die_Reit
Q60666123	Category:FFH-Gebiet_Hamburger_Unterelbe
Q60666110	Category:FFH-Gebiet_Heuckenlock/Schweenssand
Q60666122	Category:FFH-Gebiet_Stellmoorer_Tunneltal/H%C3%B6ltigbaum
Q60666118	Category:FFH-Gebiet_Zollenspieker/Kiebitzbrack
Q106605239	Category:Fibigerstra%C3%9Fe
Q106605240	Category:Fiddigshagen
Q106605241	Category:Fiefst%C3%BCcken
Q1417408	Category:Finkenau_(Hamburg)
Q23824547	Category:Finkenrieker_Friedhof
Q106605242	Category:Finkenrieker_Hauptdeich
Q11922097	Category:Finkenwerder_Fleet
Q11922096	Category:Finkenwerder_Landscheide
Q106605243	Category:Finkenwerder_Landscheideweg
Q114808797	Category:Finkenwerder_Ring_(Hamburg)
Q1417513	Category:Finkenwerder_S%C3%BCderelbe
Q114808799	Category:Finkenwerder_Stra%C3%9Fe
Q63349428	Category:Finnische_Seemannskirche_in_Hamburg
Q1418221	Category:Finnlandhaus
Q204712	Category:Fischauktionshalle_(Hamburg-Altona)
Q1419835	Category:Fischbeker_Heide
Q114808801	Category:Fischers_Allee
Q1420359	Category:Fischmarkt_(Hamburg)
Q106605244	Category:Flachsland_(Hamburg)
Q96376709	Category:Fleethaus_Hamburg-Harburg
Q114808814	Category:Fleetplatz_(Hamburg)
Q26219754	Category:Fleetschl%C3%B6sschen
Q2237848	Category:Fleischgro%C3%9Fmarkt_Hamburg
Q106605245	Category:Flemingstra%C3%9Fe_(Hamburg)
Q106605246	Category:Fliederweg
Q106605247	Category:Flora-Neumann-Stra%C3%9Fe
Q114808815	Category:Flotowstra%C3%9Fe_(Hamburg)
Q944351	Category:Flottbektal
Q106605248	Category:Flughafenstra%C3%9Fe_(Hamburg)
Q114808816	Category:Flurstra%C3%9Fe_(Hamburg)
Q1434349	Category:Flussschifferkirche_Hamburg
Q106605249	Category:Fontenay_(Hamburg)
Q114808817	Category:Fontenay-Allee
Q18624152	Category:Fontenay-Denkmal
Q106605250	Category:Foorthkamp
Q437745	Category:Former_railway_station_Bergedorf
Q894009	Category:Former_synagogue_at_Bornplatz_Hamburg
Q99485123	Category:Former_synagogue_Erste_Brunnenstrasse_Hamburg
Q107740390	Category:Former_synagogue_Neve_Shalom_in_Altona
Q106605251	Category:Forsmannstra%C3%9Fe
Q77597218	Category:Frahmredder
Q106605252	Category:Frahmstra%C3%9Fe_(Hamburg)
Q106605253	Category:Francoper_Stra%C3%9Fe
Q114808818	Category:Frankenstra%C3%9Fe_(Hamburg)
Q1807150	Category:Franksche_Laubengangh%C3%A4user_auf_dem_Dulsberg
Q1450388	Category:Franziskus-Kolleg_(Hamburg)
Q66760112	Category:Franz-von-Assisi-Schule_(Hamburg)
Q113193790	Category:Frauenk%C3%B6rper_im_Wind
Q106605254	Category:Frauenthal_(Hamburg)
Q15809126	Category:Freie_Demokratische_Partei_in_Hamburg
Q113620491	Category:Freihafen-Elbbr%C3%BCcke
Q105659402	Category:Freiluftschule_Moorwerder
Q108900690	Category:Freiluftschule_Neugraben
Q105529142	Category:Freiluftschule_Wohldorf
Q110601972	Category:Freiwillige_Feuerwehr_Allerm%C3%B6he
Q113732719	Category:Freiwillige_Feuerwehr_Billstedt-Horn
Q110602302	Category:Freiwillige_Feuerwehr_Curslack
Q111317620	Category:Freiwillige_Feuerwehr_Francop
Q109300963	Category:Freiwillige_Feuerwehr_Hausbruch
Q109299967	Category:Freiwillige_Feuerwehr_Moorburg
Q111473612	Category:Freiwillige_Feuerwehr_Moorwerder
Q110304632	Category:Freiwillige_Feuerwehr_Neudorf_(Hamburg)
Q113772602	Category:Freiwillige_Feuerwehr_Neugraben
Q111843099	Category:Freiwillige_Feuerwehr_Nienstedten
